
m = 10;

n = 10;

p = 4;

q = 4;

proba = 
[[[0.16,0.19,0.05,0.16,0.03,0.13,0.10,0.14,0.31,0.24],
[0.34,0.51,0.33,0.44,0.15,0.03,0.31,0.53,0.23,0.21],
[0.30,0.23,0.05,0.04,0.24,0.32,0.27,0.38,0.52,0.33],
[0.14,0.08,0.52,0.19,0.25,0.55,0.32,0.35,0.09,0.03],
[0.59,0.43,0.54,0.32,0.26,0.09,0.35,0.57,0.03,0.58],
[0.19,0.33,0.21,0.24,0.37,0.45,0.56,0.04,0.23,0.48],
[0.38,0.37,0.56,0.30,0.55,0.21,0.25,0.27,0.56,0.34],
[0.30,0.55,0.17,0.25,0.27,0.44,0.34,0.02,0.41,0.37],
[0.59,0.60,0.09,0.20,0.24,0.46,0.05,0.20,0.50,0.28],
[0.08,0.28,0.04,0.04,0.58,0.60,0.25,0.23,0.27,0.21]],
[[0.57,0.57,0.16,0.14,0.22,0.43,0.58,0.56,0.45,0.39],
[0.33,0.44,0.39,0.42,0.04,0.02,0.28,0.09,0.22,0.19],
[0.37,0.30,0.47,0.41,0.34,0.44,0.41,0.59,0.07,0.08],
[0.20,0.04,0.05,0.36,0.19,0.27,0.19,0.17,0.23,0.04],
[0.56,0.56,0.48,0.34,0.38,0.52,0.37,0.06,0.00,0.59],
[0.25,0.37,0.28,0.12,0.18,0.02,0.56,0.59,0.00,0.04],
[0.07,0.20,0.08,0.13,0.56,0.26,0.40,0.14,0.43,0.04],
[0.18,0.39,0.60,0.06,0.13,0.38,0.57,0.50,0.44,0.58],
[0.48,0.10,0.35,0.16,0.22,0.53,0.18,0.18,0.52,0.18],
[0.22,0.60,0.38,0.30,0.12,0.33,0.56,0.53,0.48,0.39]],
[[0.56,0.06,0.18,0.56,0.11,0.30,0.34,0.09,0.20,0.18],
[0.06,0.08,0.27,0.41,0.24,0.49,0.34,0.42,0.07,0.27],
[0.60,0.29,0.26,0.37,0.58,0.39,0.11,0.54,0.31,0.58],
[0.33,0.28,0.04,0.51,0.23,0.16,0.21,0.57,0.24,0.41],
[0.15,0.31,0.49,0.42,0.12,0.14,0.31,0.46,0.56,0.38],
[0.12,0.55,0.07,0.39,0.33,0.05,0.17,0.43,0.60,0.49],
[0.41,0.33,0.16,0.46,0.24,0.40,0.01,0.45,0.37,0.25],
[0.27,0.52,0.56,0.16,0.34,0.07,0.30,0.05,0.53,0.25],
[0.44,0.06,0.21,0.51,0.44,0.53,0.56,0.02,0.37,0.56],
[0.50,0.18,0.29,0.07,0.04,0.52,0.46,0.05,0.38,0.23]],
[[0.30,0.04,0.15,0.26,0.20,0.49,0.33,0.50,0.54,0.26],
[0.15,0.38,0.32,0.36,0.29,0.16,0.29,0.24,0.18,0.05],
[0.20,0.08,0.23,0.48,0.15,0.27,0.41,0.01,0.32,0.19],
[0.24,0.01,0.23,0.39,0.27,0.43,0.29,0.60,0.32,0.23],
[0.26,0.47,0.01,0.58,0.23,0.30,0.14,0.52,0.54,0.32],
[0.57,0.14,0.40,0.21,0.02,0.55,0.48,0.43,0.56,0.20],
[0.02,0.21,0.21,0.24,0.00,0.48,0.07,0.29,0.48,0.40],
[0.52,0.14,0.27,0.53,0.12,0.50,0.23,0.26,0.42,0.17],
[0.58,0.39,0.31,0.38,0.60,0.33,0.33,0.48,0.17,0.29],
[0.07,0.18,0.49,0.28,0.43,0.50,0.16,0.50,0.18,0.04]],
[[0.29,0.10,0.18,0.56,0.03,0.30,0.46,0.26,0.55,0.28],
[0.43,0.53,0.07,0.14,0.30,0.07,0.47,0.03,0.55,0.03],
[0.32,0.02,0.22,0.21,0.30,0.04,0.11,0.47,0.54,0.29],
[0.51,0.24,0.40,0.09,0.20,0.43,0.38,0.06,0.09,0.34],
[0.34,0.52,0.27,0.41,0.06,0.57,0.48,0.52,0.00,0.43],
[0.55,0.32,0.45,0.17,0.53,0.15,0.21,0.04,0.02,0.16],
[0.34,0.53,0.39,0.14,0.02,0.60,0.57,0.40,0.06,0.06],
[0.14,0.40,0.58,0.41,0.21,0.04,0.38,0.09,0.56,0.38],
[0.52,0.51,0.10,0.37,0.08,0.03,0.52,0.30,0.08,0.54],
[0.45,0.42,0.47,0.25,0.56,0.49,0.25,0.53,0.29,0.30]],
[[0.59,0.43,0.10,0.57,0.23,0.31,0.01,0.01,0.40,0.57],
[0.39,0.32,0.48,0.49,0.09,0.56,0.52,0.01,0.26,0.00],
[0.56,0.12,0.42,0.43,0.37,0.38,0.32,0.01,0.30,0.01],
[0.31,0.29,0.44,0.42,0.26,0.08,0.13,0.27,0.09,0.53],
[0.23,0.48,0.25,0.11,0.37,0.34,0.08,0.29,0.36,0.34],
[0.30,0.31,0.45,0.12,0.14,0.22,0.50,0.47,0.23,0.20],
[0.48,0.54,0.49,0.32,0.36,0.16,0.40,0.48,0.42,0.48],
[0.41,0.06,0.36,0.07,0.17,0.13,0.41,0.25,0.42,0.16],
[0.59,0.12,0.47,0.44,0.23,0.02,0.06,0.13,0.49,0.29],
[0.33,0.36,0.23,0.22,0.08,0.59,0.38,0.48,0.47,0.20]],
[[0.36,0.29,0.26,0.12,0.35,0.44,0.25,0.16,0.09,0.08],
[0.32,0.07,0.19,0.20,0.52,0.43,0.22,0.58,0.56,0.10],
[0.27,0.29,0.47,0.50,0.51,0.55,0.49,0.29,0.43,0.36],
[0.50,0.19,0.05,0.16,0.32,0.40,0.60,0.57,0.56,0.08],
[0.05,0.28,0.16,0.24,0.48,0.07,0.07,0.10,0.05,0.03],
[0.20,0.32,0.32,0.06,0.21,0.23,0.01,0.10,0.52,0.44],
[0.46,0.42,0.03,0.50,0.58,0.35,0.31,0.57,0.32,0.27],
[0.06,0.37,0.55,0.21,0.01,0.43,0.29,0.08,0.52,0.34],
[0.10,0.12,0.05,0.42,0.18,0.26,0.05,0.19,0.36,0.57],
[0.03,0.22,0.39,0.06,0.12,0.37,0.41,0.43,0.34,0.13]],
[[0.10,0.40,0.50,0.04,0.01,0.50,0.47,0.29,0.58,0.39],
[0.03,0.09,0.51,0.08,0.51,0.10,0.35,0.56,0.29,0.11],
[0.53,0.32,0.33,0.32,0.39,0.46,0.08,0.20,0.29,0.42],
[0.33,0.38,0.22,0.23,0.43,0.23,0.13,0.30,0.52,0.11],
[0.09,0.55,0.20,0.01,0.04,0.10,0.10,0.38,0.06,0.39],
[0.50,0.58,0.11,0.23,0.30,0.50,0.08,0.38,0.10,0.37],
[0.20,0.43,0.15,0.42,0.06,0.57,0.05,0.19,0.27,0.57],
[0.30,0.37,0.52,0.49,0.37,0.56,0.59,0.47,0.34,0.05],
[0.26,0.24,0.03,0.38,0.46,0.33,0.28,0.54,0.12,0.38],
[0.31,0.32,0.21,0.46,0.14,0.27,0.43,0.19,0.45,0.11]]];

alpha = 
[0.45,0.45,0.56,0.43,0.41,0.48,0.41,0.41];

c = 
[[8,7,6,7,3,6,7,10,6,4],
[8,2,4,9,9,5,3,9,6,9],
[6,6,7,2,2,2,3,9,10,5],
[10,8,8,5,4,9,9,8,8,2],
[10,4,9,2,2,8,5,2,4,7],
[7,9,10,10,9,10,8,8,8,8],
[2,7,5,9,9,5,5,7,2,10],
[6,9,3,4,9,10,8,10,8,2],
[6,2,7,3,2,5,3,8,9,9],
[3,7,4,6,5,2,8,7,5,8]];
