
m = 12;

n = 12;

p = 3;

q = 3;

proba = 
[[[0.02,0.34,0.05,0.50,0.41,0.48,0.17,0.03,0.14,0.47,0.40,0.57],
[0.07,0.35,0.11,0.20,0.04,0.31,0.31,0.01,0.52,0.31,0.37,0.57],
[0.45,0.43,0.25,0.53,0.35,0.01,0.58,0.37,0.35,0.03,0.28,0.15],
[0.51,0.44,0.18,0.05,0.32,0.58,0.01,0.38,0.34,0.12,0.59,0.38],
[0.43,0.30,0.39,0.35,0.01,0.16,0.32,0.45,0.59,0.58,0.38,0.34],
[0.58,0.36,0.12,0.33,0.39,0.39,0.48,0.30,0.24,0.07,0.35,0.55],
[0.05,0.37,0.34,0.38,0.49,0.32,0.16,0.32,0.02,0.55,0.07,0.03],
[0.11,0.39,0.48,0.10,0.37,0.26,0.44,0.35,0.03,0.56,0.08,0.42],
[0.35,0.56,0.12,0.59,0.03,0.47,0.54,0.07,0.24,0.28,0.46,0.12],
[0.00,0.02,0.44,0.02,0.56,0.51,0.05,0.07,0.30,0.53,0.17,0.06],
[0.19,0.01,0.41,0.22,0.57,0.49,0.04,0.32,0.46,0.16,0.31,0.48],
[0.03,0.25,0.56,0.27,0.53,0.42,0.39,0.53,0.43,0.23,0.55,0.40]],
[[0.14,0.00,0.47,0.44,0.53,0.04,0.50,0.12,0.05,0.32,0.34,0.02],
[0.21,0.38,0.35,0.07,0.54,0.06,0.55,0.57,0.31,0.51,0.24,0.24],
[0.32,0.03,0.17,0.16,0.27,0.13,0.55,0.41,0.13,0.42,0.24,0.06],
[0.46,0.15,0.18,0.51,0.46,0.52,0.53,0.07,0.30,0.28,0.14,0.23],
[0.34,0.09,0.20,0.05,0.60,0.44,0.29,0.32,0.47,0.46,0.48,0.14],
[0.58,0.43,0.54,0.11,0.25,0.19,0.17,0.11,0.33,0.35,0.02,0.19],
[0.28,0.55,0.27,0.57,0.23,0.40,0.21,0.57,0.49,0.41,0.01,0.49],
[0.25,0.30,0.21,0.12,0.16,0.09,0.26,0.14,0.52,0.21,0.25,0.17],
[0.39,0.43,0.27,0.13,0.18,0.29,0.32,0.45,0.23,0.59,0.43,0.46],
[0.39,0.04,0.43,0.28,0.44,0.44,0.17,0.09,0.14,0.38,0.22,0.30],
[0.47,0.48,0.44,0.39,0.08,0.10,0.55,0.48,0.52,0.22,0.00,0.10],
[0.51,0.32,0.56,0.14,0.31,0.38,0.01,0.10,0.42,0.44,0.39,0.26]],
[[0.28,0.56,0.36,0.42,0.34,0.57,0.13,0.21,0.45,0.57,0.00,0.53],
[0.07,0.56,0.40,0.59,0.18,0.41,0.09,0.09,0.13,0.05,0.24,0.44],
[0.43,0.24,0.54,0.25,0.08,0.33,0.51,0.36,0.29,0.27,0.19,0.03],
[0.24,0.31,0.24,0.09,0.28,0.25,0.02,0.35,0.20,0.42,0.34,0.39],
[0.23,0.43,0.48,0.36,0.48,0.12,0.20,0.31,0.36,0.14,0.56,0.44],
[0.47,0.48,0.21,0.16,0.15,0.40,0.19,0.39,0.11,0.43,0.48,0.39],
[0.08,0.49,0.14,0.29,0.32,0.49,0.07,0.55,0.32,0.55,0.31,0.20],
[0.07,0.51,0.51,0.43,0.05,0.48,0.27,0.52,0.35,0.48,0.08,0.50],
[0.27,0.27,0.28,0.38,0.10,0.16,0.18,0.18,0.05,0.32,0.47,0.37],
[0.21,0.54,0.32,0.52,0.49,0.02,0.12,0.55,0.53,0.04,0.38,0.58],
[0.51,0.05,0.50,0.26,0.53,0.57,0.16,0.20,0.24,0.44,0.58,0.34],
[0.00,0.16,0.52,0.06,0.48,0.39,0.43,0.08,0.32,0.14,0.01,0.21]],
[[0.17,0.13,0.17,0.10,0.17,0.55,0.07,0.08,0.60,0.57,0.35,0.53],
[0.55,0.51,0.13,0.19,0.35,0.11,0.53,0.35,0.26,0.45,0.41,0.14],
[0.24,0.24,0.22,0.56,0.38,0.23,0.18,0.55,0.36,0.34,0.04,0.52],
[0.29,0.12,0.00,0.29,0.09,0.35,0.22,0.03,0.26,0.34,0.22,0.01],
[0.45,0.15,0.36,0.12,0.00,0.17,0.25,0.24,0.41,0.47,0.20,0.19],
[0.10,0.38,0.13,0.46,0.12,0.18,0.38,0.41,0.29,0.38,0.10,0.38],
[0.13,0.32,0.41,0.39,0.07,0.03,0.40,0.52,0.18,0.16,0.03,0.18],
[0.33,0.29,0.42,0.14,0.16,0.02,0.33,0.26,0.40,0.47,0.11,0.52],
[0.04,0.49,0.33,0.34,0.28,0.44,0.12,0.41,0.16,0.53,0.20,0.22],
[0.56,0.60,0.14,0.15,0.16,0.17,0.33,0.49,0.46,0.15,0.04,0.02],
[0.17,0.37,0.28,0.57,0.24,0.39,0.49,0.28,0.29,0.23,0.02,0.56],
[0.07,0.14,0.37,0.22,0.07,0.57,0.45,0.03,0.57,0.59,0.18,0.12]],
[[0.16,0.50,0.02,0.02,0.05,0.05,0.03,0.22,0.42,0.31,0.20,0.06],
[0.10,0.09,0.34,0.39,0.32,0.36,0.35,0.39,0.49,0.12,0.01,0.56],
[0.09,0.45,0.59,0.06,0.44,0.17,0.19,0.60,0.07,0.20,0.01,0.12],
[0.25,0.05,0.34,0.07,0.36,0.54,0.13,0.46,0.03,0.47,0.25,0.35],
[0.23,0.01,0.13,0.12,0.13,0.14,0.08,0.22,0.60,0.07,0.29,0.44],
[0.24,0.47,0.44,0.31,0.07,0.45,0.43,0.33,0.50,0.17,0.40,0.26],
[0.11,0.53,0.12,0.14,0.40,0.37,0.49,0.03,0.38,0.02,0.15,0.51],
[0.17,0.23,0.14,0.16,0.30,0.42,0.00,0.53,0.29,0.44,0.24,0.37],
[0.28,0.07,0.10,0.18,0.23,0.50,0.44,0.34,0.43,0.56,0.48,0.24],
[0.33,0.37,0.26,0.11,0.39,0.41,0.03,0.55,0.04,0.16,0.12,0.34],
[0.58,0.12,0.27,0.28,0.55,0.51,0.05,0.24,0.58,0.14,0.42,0.21],
[0.04,0.26,0.55,0.48,0.21,0.43,0.11,0.55,0.20,0.38,0.06,0.59]],
[[0.19,0.08,0.54,0.23,0.25,0.06,0.57,0.23,0.17,0.24,0.51,0.13],
[0.15,0.56,0.36,0.13,0.10,0.18,0.34,0.15,0.44,0.30,0.02,0.05],
[0.13,0.14,0.60,0.33,0.51,0.06,0.31,0.10,0.14,0.25,0.33,0.39],
[0.31,0.29,0.02,0.49,0.53,0.53,0.01,0.08,0.49,0.38,0.21,0.59],
[0.56,0.55,0.14,0.40,0.25,0.16,0.45,0.38,0.30,0.44,0.10,0.21],
[0.50,0.42,0.31,0.04,0.07,0.04,0.43,0.39,0.33,0.44,0.27,0.26],
[0.37,0.28,0.34,0.26,0.06,0.56,0.25,0.02,0.51,0.39,0.41,0.16],
[0.56,0.26,0.54,0.26,0.10,0.04,0.47,0.00,0.46,0.18,0.04,0.53],
[0.22,0.47,0.32,0.55,0.31,0.59,0.21,0.09,0.27,0.55,0.35,0.33],
[0.51,0.60,0.34,0.42,0.39,0.15,0.58,0.35,0.41,0.52,0.01,0.52],
[0.56,0.47,0.52,0.42,0.05,0.56,0.35,0.27,0.43,0.07,0.22,0.15],
[0.06,0.43,0.23,0.33,0.38,0.58,0.05,0.29,0.58,0.40,0.11,0.37]]];

alpha = 
[0.58,0.43,0.44,0.52,0.40,0.44];

c = 
[[6,9,3,8,3,4,8,8,2,5,4,10],
[10,4,4,5,2,2,5,2,7,4,5,4],
[9,9,8,9,5,6,10,10,2,2,5,3],
[5,2,10,3,6,10,9,5,3,3,7,2],
[10,10,2,6,2,3,6,9,8,4,7,3],
[8,4,9,8,3,3,8,6,3,5,5,7],
[4,3,9,3,2,5,10,10,2,10,5,2],
[10,8,7,7,8,2,8,3,2,6,7,3],
[7,4,5,7,5,8,10,5,10,8,7,10],
[9,6,10,10,4,2,8,3,8,5,6,3],
[3,4,4,3,6,10,5,10,10,8,6,5],
[6,3,8,3,10,2,2,8,7,8,5,7]];
