
m = 16;

n = 16;

p = 3;

q = 3;

proba = 
[[[0.03,0.42,0.57,0.23,0.14,0.43,0.22,0.25,0.58,0.36,0.33,0.58,0.42,0.01,0.53,0.46],
[0.18,0.28,0.50,0.60,0.14,0.01,0.39,0.55,0.10,0.27,0.37,0.14,0.39,0.30,0.43,0.42],
[0.12,0.41,0.05,0.26,0.24,0.27,0.50,0.22,0.04,0.23,0.20,0.46,0.25,0.13,0.32,0.43],
[0.40,0.21,0.42,0.55,0.23,0.22,0.50,0.32,0.49,0.27,0.46,0.28,0.56,0.29,0.10,0.08],
[0.10,0.15,0.34,0.34,0.42,0.24,0.56,0.46,0.48,0.16,0.32,0.12,0.28,0.03,0.55,0.09],
[0.25,0.37,0.03,0.47,0.59,0.53,0.19,0.47,0.20,0.05,0.15,0.16,0.35,0.25,0.25,0.45],
[0.40,0.58,0.19,0.23,0.23,0.15,0.09,0.10,0.30,0.40,0.22,0.59,0.44,0.17,0.07,0.09],
[0.54,0.10,0.56,0.53,0.04,0.15,0.40,0.24,0.20,0.56,0.40,0.55,0.21,0.05,0.40,0.01],
[0.03,0.58,0.24,0.26,0.13,0.33,0.36,0.43,0.14,0.58,0.42,0.57,0.15,0.49,0.06,0.09],
[0.59,0.02,0.02,0.03,0.17,0.43,0.26,0.37,0.38,0.06,0.32,0.59,0.11,0.11,0.00,0.14],
[0.10,0.25,0.40,0.23,0.58,0.16,0.06,0.11,0.14,0.48,0.09,0.29,0.36,0.15,0.38,0.35],
[0.16,0.41,0.38,0.33,0.23,0.04,0.10,0.02,0.10,0.41,0.01,0.21,0.53,0.01,0.35,0.03],
[0.26,0.15,0.26,0.23,0.30,0.31,0.34,0.44,0.19,0.43,0.13,0.55,0.57,0.52,0.31,0.14],
[0.33,0.08,0.46,0.56,0.13,0.56,0.58,0.23,0.37,0.58,0.44,0.30,0.59,0.20,0.33,0.25],
