
m = 18;

n = 18;

p = 4;

q = 4;

proba = 
[[[0.06,0.18,0.49,0.03,0.26,0.53,0.29,0.44,0.45,0.47,0.58,0.05,0.49,0.05,0.11,0.23,0.39,0.20],
[0.58,0.28,0.14,0.16,0.05,0.07,0.40,0.09,0.18,0.22,0.33,0.18,0.21,0.39,0.36,0.10,0.42,0.02],
[0.03,0.10,0.46,0.48,0.57,0.44,0.54,0.46,0.49,0.04,0.09,0.28,0.24,0.07,0.56,0.38,0.22,0.01],
[0.46,0.02,0.10,0.04,0.25,0.43,0.21,0.46,0.22,0.57,0.56,0.04,0.59,0.59,0.14,0.46,0.48,0.11],
[0.29,0.41,0.57,0.18,0.46,0.05,0.47,0.10,0.12,0.43,0.48,0.34,0.44,0.34,0.36,0.54,0.37,0.01],
[0.37,0.59,0.47,0.59,0.56,0.43,0.02,0.55,0.42,0.16,0.41,0.30,0.27,0.10,0.11,0.24,0.29,0.57],
[0.29,0.15,0.07,0.41,0.58,0.55,0.15,0.42,0.29,0.52,0.36,0.06,0.53,0.13,0.05,0.40,0.12,0.01],
[0.23,0.14,0.57,0.05,0.30,0.38,0.34,0.57,0.48,0.45,0.21,0.17,0.42,0.50,0.32,0.49,0.31,0.30],
[0.44,0.47,0.12,0.13,0.38,0.49,0.19,0.31,0.02,0.24,0.11,0.14,0.26,0.33,0.28,0.23,0.38,0.59],
[0.01,0.12,0.56,0.49,0.58,0.17,0.05,0.40,0.07,0.37,0.29,0.38,0.07,0.13,0.25,0.20,0.25,0.03],
[0.08,0.45,0.34,0.10,0.09,0.45,0.24,0.35,0.18,0.52,0.58,0.56,0.50,0.58,0.08,0.46,0.47,0.06],
[0.03,0.52,0.45,0.10,0.29,0.14,0.48,0.37,0.26,0.13,0.56,0.52,0.16,0.04,0.36,0.50,0.14,0.45],
[0.35,0.38,0.20,0.53,0.30,0.18,0.49,0.21,0.16,0.57,0.07,0.03,0.03,0.10,0.55,0.48,0.20,0.24],
[0.02,0.09,0.01,0.29,0.22,0.57,0.20,0.38,0.01,0.57,0.29,0.16,0.42,0.04,0.54,0.02,0.57,0.24],
[0.21,0.47,0.45,0.37,0.44,0.52,0.40,0.47,0.02,0.35,0.35,0.22,0.60,0.38,0.31,0.01,0.06,0.53],
[0.58,0.27,0.32,0.59,0.24,0.00,0.15,0.06,0.05,0.09,0.08,0.02,0.33,0.29,0.49,0.18,0.06,0.32],
[0.09,0.46,0.19,0.11,0.21,0.55,0.34,0.21,0.33,0.05,0.22,0.39,0.58,0.19,0.06,0.30,0.19,0.30],
[0.30,0.34,0.36,0.35,0.43,0.44,0.37,0.15,0.13,0.25,0.33,0.19,0.57,0.43,0.05,0.17,0.54,0.26]],
[[0.12,0.28,0.47,0.44,0.33,0.08,0.23,0.31,0.28,0.29,0.01,0.46,0.59,0.31,0.20,0.35,0.06,0.02],
[0.19,0.42,0.18,0.32,0.07,0.51,0.51,0.05,0.34,0.55,0.22,0.28,0.21,0.33,0.56,0.08,0.18,0.29],
[0.16,0.41,0.60,0.44,0.11,0.01,0.30,0.10,0.32,0.50,0.45,0.37,0.53,0.04,0.19,0.11,0.36,0.26],
[0.02,0.26,0.31,0.36,0.21,0.53,0.04,0.42,0.26,0.60,0.50,0.44,0.29,0.06,0.25,0.29,0.50,0.35],
[0.29,0.20,0.45,0.01,0.10,0.30,0.38,0.02,0.33,0.57,0.13,0.09,0.24,0.15,0.35,0.55,0.50,0.56],
[0.48,0.54,0.38,0.13,0.54,0.28,0.57,0.23,0.34,0.22,0.51,0.24,0.57,0.20,0.43,0.42,0.21,0.53],
[0.11,0.59,0.55,0.45,0.56,0.08,0.53,0.20,0.23,0.28,0.15,0.13,0.25,0.02,0.07,0.03,0.16,0.01],
[0.31,0.13,0.24,0.05,0.34,0.15,0.29,0.31,0.36,0.12,0.13,0.57,0.05,0.24,0.56,0.00,0.09,0.53],
[0.09,0.02,0.13,0.31,0.31,0.28,0.44,0.55,0.30,0.52,0.58,0.46,0.53,0.30,0.59,0.17,0.35,0.33],
[0.32,0.04,0.04,0.08,0.17,0.17,0.05,0.22,0.41,0.01,0.23,0.50,0.54,0.31,0.52,0.07,0.02,0.22],
[0.34,0.47,0.18,0.04,0.38,0.16,0.50,0.31,0.46,0.48,0.48,0.21,0.21,0.21,0.26,0.26,0.29,0.42],
[0.43,0.34,0.04,0.24,0.35,0.27,0.13,0.29,0.58,0.05,0.36,0.00,0.28,0.10,0.47,0.45,0.14,0.25],
[0.01,0.04,0.56,0.47,0.52,0.44,0.09,0.14,0.05,0.34,0.39,0.33,0.17,0.22,0.08,0.21,0.46,0.43],
[0.48,0.59,0.12,0.46,0.04,0.48,0.46,0.32,0.58,0.33,0.17,0.12,0.58,0.19,0.16,0.54,0.06,0.09],
[0.38,0.15,0.22,0.43,0.49,0.02,0.16,0.06,0.24,0.24,0.27,0.10,0.06,0.15,0.09,0.19,0.01,0.13],
[0.07,0.47,0.45,0.06,0.20,0.02,0.18,0.18,0.21,0.34,0.12,0.27,0.43,0.50,0.42,0.05,0.32,0.31],
[0.07,0.48,0.37,0.31,0.12,0.04,0.40,0.18,0.19,0.49,0.37,0.20,0.02,0.44,0.08,0.47,0.50,0.28],
[0.49,0.08,0.46,0.10,0.42,0.58,0.37,0.25,0.47,0.19,0.30,0.19,0.51,0.37,0.08,0.28,0.08,0.19]],
[[0.32,0.48,0.38,0.52,0.37,0.15,0.12,0.39,0.59,0.20,0.25,0.49,0.47,0.14,0.57,0.33,0.24,0.40],
[0.31,0.02,0.05,0.18,0.21,0.35,0.37,0.12,0.12,0.45,0.40,0.20,0.04,0.13,0.08,0.42,0.04,0.45],
[0.57,0.16,0.24,0.56,0.36,0.49,0.45,0.24,0.03,0.42,0.57,0.27,0.22,0.28,0.29,0.26,0.45,0.50],
[0.02,0.23,0.02,0.14,0.08,0.42,0.34,0.12,0.55,0.43,0.54,0.59,0.27,0.51,0.15,0.51,0.47,0.52],
[0.40,0.32,0.15,0.43,0.14,0.12,0.10,0.35,0.40,0.40,0.01,0.25,0.30,0.03,0.48,0.32,0.17,0.56],
[0.14,0.51,0.08,0.09,0.34,0.02,0.08,0.01,0.53,0.23,0.52,0.39,0.15,0.32,0.11,0.30,0.15,0.24],
[0.42,0.25,0.60,0.22,0.05,0.01,0.47,0.35,0.04,0.35,0.07,0.21,0.30,0.21,0.12,0.38,0.30,0.46],
[0.40,0.37,0.47,0.33,0.01,0.40,0.12,0.15,0.12,0.23,0.45,0.27,0.48,0.27,0.52,0.47,0.49,0.57],
[0.48,0.36,0.32,0.52,0.11,0.39,0.13,0.41,0.60,0.25,0.19,0.29,0.11,0.59,0.06,0.59,0.32,0.07],
[0.38,0.45,0.22,0.50,0.08,0.08,0.17,0.56,0.35,0.09,0.43,0.24,0.06,0.31,0.00,0.38,0.24,0.11],
[0.17,0.37,0.52,0.17,0.02,0.11,0.46,0.13,0.11,0.53,0.12,0.43,0.60,0.50,0.28,0.22,0.40,0.36],
[0.30,0.57,0.31,0.05,0.06,0.15,0.29,0.13,0.46,0.29,0.51,0.09,0.40,0.08,0.46,0.32,0.25,0.48],
[0.43,0.11,0.01,0.54,0.04,0.13,0.37,0.04,0.03,0.04,0.26,0.44,0.40,0.55,0.41,0.11,0.60,0.47],
[0.26,0.29,0.00,0.12,0.58,0.51,0.21,0.38,0.60,0.07,0.10,0.25,0.55,0.53,0.36,0.56,0.47,0.41],
[0.09,0.24,0.44,0.12,0.28,0.10,0.56,0.08,0.05,0.37,0.19,0.05,0.25,0.44,0.33,0.25,0.56,0.31],
[0.16,0.17,0.09,0.15,0.24,0.20,0.41,0.19,0.13,0.17,0.15,0.00,0.58,0.24,0.24,0.42,0.37,0.52],
[0.51,0.33,0.59,0.56,0.10,0.18,0.00,0.35,0.02,0.34,0.59,0.58,0.05,0.15,0.15,0.15,0.30,0.39],
[0.34,0.11,0.58,0.47,0.28,0.14,0.47,0.25,0.38,0.11,0.07,0.14,0.02,0.58,0.47,0.02,0.54,0.57]],
[[0.19,0.55,0.32,0.22,0.29,0.31,0.20,0.34,0.46,0.35,0.48,0.16,0.15,0.22,0.27,0.13,0.09,0.55],
[0.27,0.57,0.20,0.04,0.08,0.27,0.19,0.10,0.26,0.06,0.12,0.20,0.03,0.31,0.15,0.35,0.52,0.43],
[0.06,0.12,0.17,0.52,0.48,0.05,0.08,0.02,0.27,0.35,0.15,0.37,0.30,0.42,0.34,0.50,0.46,0.41],
[0.18,0.05,0.51,0.43,0.11,0.03,0.03,0.14,0.33,0.18,0.49,0.26,0.01,0.55,0.38,0.18,0.47,0.26],
[0.23,0.55,0.28,0.50,0.29,0.44,0.27,0.59,0.26,0.01,0.49,0.12,0.42,0.07,0.17,0.33,0.50,0.28],
[0.36,0.53,0.43,0.09,0.11,0.32,0.35,0.13,0.27,0.14,0.31,0.13,0.40,0.54,0.08,0.08,0.44,0.37],
[0.52,0.12,0.36,0.18,0.13,0.26,0.30,0.55,0.33,0.47,0.28,0.23,0.15,0.04,0.16,0.58,0.13,0.28],
[0.30,0.48,0.41,0.56,0.02,0.12,0.10,0.42,0.06,0.18,0.50,0.50,0.55,0.42,0.02,0.32,0.59,0.15],
[0.57,0.29,0.09,0.30,0.16,0.37,0.53,0.31,0.41,0.10,0.29,0.54,0.37,0.59,0.42,0.18,0.55,0.44],
