
m = 20;

n = 20;

p = 2;

q = 2;

proba = 
[[[0.31,0.05,0.02,0.55,0.55,0.23,0.00,0.19,0.26,0.44,0.26,0.16,0.55,0.30,0.25,0.15,0.60,0.15,0.29,0.35],
[0.09,0.21,0.15,0.48,0.19,0.06,0.01,0.47,0.37,0.18,0.35,0.08,0.23,0.37,0.03,0.18,0.60,0.03,0.37,0.26],
[0.47,0.03,0.42,0.42,0.32,0.07,0.57,0.32,0.22,0.26,0.07,0.31,0.47,0.22,0.19,0.06,0.28,0.19,0.53,0.05],
[0.38,0.28,0.13,0.01,0.04,0.16,0.19,0.04,0.19,0.56,0.30,0.06,0.58,0.12,0.47,0.31,0.19,0.44,0.03,0.41],
[0.10,0.10,0.11,0.57,0.32,0.30,0.03,0.01,0.50,0.56,0.06,0.27,0.23,0.20,0.28,0.28,0.36,0.47,0.32,0.54],
[0.43,0.02,0.00,0.41,0.14,0.47,0.12,0.33,0.32,0.15,0.14,0.42,0.25,0.25,0.39,0.58,0.55,0.41,0.58,0.45],
[0.37,0.05,0.12,0.01,0.24,0.40,0.28,0.60,0.27,0.60,0.54,0.10,0.02,0.54,0.51,0.16,0.42,0.03,0.49,0.13],
[0.18,0.03,0.55,0.43,0.28,0.34,0.41,0.23,0.15,0.39,0.08,0.53,0.44,0.20,0.53,0.08,0.00,0.21,0.08,0.28],
[0.21,0.02,0.38,0.23,0.57,0.29,0.39,0.38,0.31,0.27,0.52,0.49,0.30,0.47,0.32,0.57,0.21,0.13,0.20,0.36],
[0.52,0.28,0.28,0.36,0.48,0.22,0.44,0.48,0.43,0.52,0.16,0.04,0.54,0.54,0.27,0.51,0.22,0.05,0.29,0.53],
[0.33,0.21,0.43,0.02,0.07,0.15,0.60,0.28,0.28,0.20,0.04,0.20,0.48,0.32,0.56,0.36,0.54,0.40,0.24,0.37],
[0.32,0.40,0.41,0.26,0.34,0.07,0.17,0.56,0.13,0.47,0.49,0.45,0.08,0.32,0.48,0.15,0.47,0.47,0.43,0.14],
[0.08,0.47,0.34,0.56,0.19,0.30,0.32,0.14,0.10,0.56,0.51,0.42,0.36,0.31,0.09,0.09,0.39,0.26,0.05,0.51],
[0.13,0.54,0.36,0.21,0.26,0.24,0.35,0.13,0.11,0.18,0.27,0.19,0.05,0.01,0.15,0.25,0.32,0.46,0.38,0.42],
[0.42,0.29,0.25,0.18,0.00,0.33,0.27,0.39,0.60,0.32,0.30,0.13,0.26,0.07,0.33,0.52,0.31,0.09,0.04,0.42],
[0.27,0.32,0.01,0.33,0.33,0.16,0.57,0.05,0.02,0.36,0.47,0.44,0.05,0.11,0.02,0.05,0.45,0.28,0.44,0.44],
[0.00,0.14,0.57,0.26,0.21,0.30,0.18,0.52,0.39,0.22,0.34,0.06,0.54,0.35,0.39,0.27,0.51,0.36,0.32,0.53],
[0.12,0.18,0.37,0.17,0.30,0.39,0.21,0.14,0.07,0.05,0.59,0.07,0.20,0.56,0.33,0.41,0.26,0.51,0.32,0.05],
[0.14,0.06,0.11,0.08,0.41,0.50,0.34,0.32,0.26,0.06,0.25,0.38,0.24,0.02,0.54,0.54,0.40,0.16,0.08,0.47],
[0.21,0.07,0.54,0.40,0.02,0.27,0.21,0.28,0.19,0.53,0.33,0.32,0.60,0.44,0.40,0.41,0.34,0.14,0.13,0.59]],
[[0.20,0.38,0.37,0.45,0.40,0.31,0.38,0.20,0.47,0.47,0.07,0.08,0.53,0.02,0.48,0.56,0.29,0.09,0.24,0.48],
[0.03,0.57,0.20,0.02,0.41,0.60,0.43,0.15,0.14,0.56,0.14,0.34,0.34,0.51,0.19,0.14,0.22,0.57,0.34,0.09],
[0.44,0.41,0.17,0.37,0.43,0.05,0.32,0.12,0.14,0.56,0.59,0.17,0.53,0.19,0.20,0.34,0.19,0.03,0.49,0.33],
[0.59,0.03,0.07,0.34,0.53,0.26,0.48,0.16,0.23,0.22,0.25,0.07,0.03,0.42,0.43,0.46,0.47,0.16,0.57,0.01],
[0.12,0.57,0.18,0.05,0.16,0.38,0.39,0.35,0.41,0.28,0.08,0.40,0.31,0.15,0.14,0.24,0.41,0.02,0.40,0.04],
[0.23,0.05,0.11,0.26,0.46,0.54,0.12,0.33,0.10,0.09,0.35,0.22,0.06,0.53,0.28,0.22,0.31,0.07,0.57,0.12],
[0.35,0.05,0.52,0.06,0.21,0.06,0.30,0.02,0.08,0.10,0.06,0.31,0.14,0.17,0.57,0.01,0.11,0.09,0.34,0.22],
[0.18,0.09,0.44,0.23,0.02,0.12,0.45,0.33,0.19,0.42,0.45,0.54,0.47,0.37,0.60,0.08,0.43,0.30,0.10,0.51],
[0.39,0.16,0.22,0.54,0.33,0.19,0.54,0.45,0.28,0.29,0.06,0.46,0.37,0.50,0.09,0.39,0.02,0.54,0.13,0.21],
[0.36,0.58,0.15,0.23,0.35,0.14,0.31,0.18,0.44,0.41,0.10,0.23,0.57,0.32,0.17,0.30,0.51,0.11,0.15,0.20],
[0.40,0.21,0.05,0.17,0.11,0.14,0.57,0.13,0.08,0.09,0.34,0.45,0.07,0.48,0.08,0.41,0.03,0.39,0.60,0.47],
[0.20,0.09,0.10,0.17,0.41,0.27,0.47,0.32,0.38,0.02,0.52,0.18,0.23,0.57,0.35,0.34,0.12,0.32,0.47,0.20],
[0.41,0.21,0.05,0.48,0.10,0.13,0.29,0.13,0.52,0.29,0.60,0.11,0.38,0.10,0.28,0.19,0.37,0.15,0.52,0.15],
