
reset session
set terminal png size 800, 600
FILE = "plot.dat"
set output "plot.png"
set title "Objective value and mean carbon emissions function of the width of the window"
set xlabel " Width of the time window "
set ylabel " Value "
set datafile missing "NaN"
plot FILE u 1:3 ti "Mean carbon emissions", \
                FILE u 1:2 ti "Objective value"

0 0.000000 0.000000
0 421.632507 246.443329
0 423.070007 240.783340
0 422.535004 240.610001
10 373.260834 257.803345
8 337.932495 297.746674
8 327.047485 279.453339
8 337.084991 305.176666
8 348.622498 294.040009
8 347.619995 293.226654
8 335.167511 301.079987
8 340.532501 288.829987
8 356.065002 302.673340
8 350.994995 294.336670
8 334.119995 299.153320
10 377.239166 256.709991
8 331.725006 295.096680
8 340.847504 298.529999
8 338.084991 308.416656
8 329.177490 286.361664
8 324.487488 294.519989
8 350.022491 287.981659
8 330.440002 293.998322
8 327.700012 280.383331
8 350.292511 305.711670
8 335.989990 285.678345
10 374.292511 258.256653
8 331.742493 290.193329
8 336.679993 290.163330
8 336.382507 296.753326
8 331.225006 292.743347
8 332.332489 298.883331
8 334.834991 303.423340
8 338.940002 303.653320
8 339.097504 296.790009
8 336.554993 301.743347
8 329.149994 295.926666
10 374.047485 265.311676
8 341.709991 282.470001
8 348.677490 286.668335
8 332.605011 291.420013
8 349.304993 281.119995
8 334.140015 286.029999
8 331.299988 295.883331
8 335.602509 301.500000
8 332.635010 287.000000
8 349.422485 290.609985
8 343.304993 298.070007
10 369.762512 255.929993
8 350.742493 296.536652
8 332.589996 295.436676
8 337.464996 308.109985
8 336.487488 289.486664
8 325.174988 293.943329
8 334.677490 298.589996
8 336.350006 284.323334
8 346.739990 291.523346
8 340.184998 292.279999
8 340.684998 284.263336
10 368.037506 258.779999
8 337.652496 297.006653
8 331.255005 281.748322
8 334.815002 294.693329
8 353.837494 306.636658
8 330.917511 300.059998
8 330.654999 290.679993
8 343.017487 296.496674
8 338.739990 293.903320
8 338.779999 283.670013
8 348.587494 299.401672
10 372.424988 255.546661
8 333.057495 293.660004
8 346.222504 297.476654
8 336.309998 298.010010
8 326.774994 283.953339
8 334.804993 297.826660
8 326.260010 296.529999
8 341.752502 290.739990
8 333.762512 300.826660
8 352.394989 290.359985
8 333.737488 311.663330
10 375.882507 256.246674
8 333.332489 293.869995
8 335.887512 299.016663
8 335.035004 300.353333
8 334.047485 286.045013
8 336.399994 302.019989
8 339.010010 305.019989
8 330.012512 294.769989
8 329.799988 296.968323
8 343.022491 321.876678
8 347.957489 292.450012
10 366.903320 252.963333
8 331.519989 293.265015
8 332.367493 301.959991
8 329.135010 298.433319
8 336.552490 306.881653
8 344.174988 279.119995
8 336.812500 288.253326
8 348.792511 292.036652
8 333.929993 286.108337
8 350.177490 303.190002
8 349.702515 307.880005
10 371.519989 258.313324
8 332.019989 297.683319
8 353.470001 294.406677
8 338.869995 284.073334
8 352.062500 301.334991
8 336.702515 301.356659
8 331.598755 298.464996
8 339.347504 293.079987
8 335.507507 299.288330
8 337.382507 299.001678
8 337.567505 296.796661
0 424.364990 240.323334
10 369.142487 245.376663
9 357.350006 285.626678
9 351.904999 275.079987
9 351.492493 279.036652
9 358.941254 291.301666
9 354.607513 276.706665
9 350.510010 286.269989
9 354.774994 278.606659
9 361.477509 285.758331
9 356.687500 269.095001
9 350.309998 266.306671
10 371.709991 257.733337
9 355.597504 285.696655
9 359.272491 291.100006
9 345.000000 266.033325
9 354.883759 271.829987
9 355.837494 288.126678
9 358.777496 277.306671
9 352.431244 275.793335
9 357.017487 273.906677
9 352.457489 286.541656
9 352.212494 274.543335
10 374.445007 259.396667
9 350.232513 281.778320
